,NAME,POSITION,EDUCATION
649,"Steinmaus, Scott J. (1998) Horticulture and Crop Science",Professor and Department Head,"B.S., University of California, Davis, 1984; Ph.D., University of California, Davis, 1995; Post-doctorate, University of California, Riverside, 1998. Pest Control Advisor, California."
650,"Strand, Christy (2007) Biological Sciences",Professor,"B.A., Concordia University 1992; Ph.D., Arizona State University, 2007."
651,"Styles, Stuart W. (1984) BioResource and Agricultural Engineering",Professor,"B.S., California Polytechnic State University, San Luis Obispo, 1984; M.B.A., 1988; D.Engr., University of California, Davis, 2001. Registered Civil Engineer, California."
652,"Sun, Dennis L. (2016) Statistics",Associate Professor,"A.B., Harvard College, 2010; Ph.D., Stanford University, 2015."
653,"Sungar, Nilgun (1989) Physics",Professor Emeritus (FERP),"B.S., Middle East Technical University, Turkey, 1979; Ph.D., University of Missouri, 1985."
654,"Surfleet, Christopher Graham (2012) Natural Resources Management and Environmental Sciences",Professor,"B.S., California Polytechnic State University, San Luis Obispo, 1993; M.S. Oregon State University 1997; Ph.D. 2008. Certified Professional in Erosion and Sediment Control."
655,"Swan, Benjamin G. (2010) Agricultural Education and Communication",Professor and Department Head,"B.S., California Polytechnic State University, San Luis Obispo, 1997; M.S., 2001; Ph.D., The Ohio State University, 2005."
656,"Sweatt, Lisa I. (2000) Psychology and Child Development",Associate Professor,"B.S., University of California, Irvine, 1989; M.A., Ohio State University, 1992; Ph.D., Loyola University Chicago, 1999. Licensed Psychologist, California."
657,"Sze, Lawrence (1998) Mathematics",Associate Professor,"B.S., Louisiana State University, Baton Rouge, 1986; M.A., University of California, Los Angeles, 1989; Ph.D., Penn State University, 1998."
658,"Szlavik, Robert (2006) Biomedical Engineering",Professor,"B.Eng., McMaster University, 1991; M.Eng., 1994; Ph.D., 1999."
659,"Talke, Stefan A. (2019) Civil and Environmental Engineering",Associate Professor,"B.S., University of California, Berkeley, 1996; M.S., 2001; Ph.D., 2005."
660,"Tanvir, Shams (2020) Civil and Environmental Engineering",Assistant Professor,"B.S., Bangladesh University of Engineering Technology (BUET), 2009; M.S., 2013; Ph.D., North Carolina State University, 2018"
661,"Taufik, (1999) Electrical Engineering",Professor,"B.S., Northern Arizona University, 1993; M.S. University of Illinois at Chicago, 1995; Dr. Eng., Cleveland State University, 1999."
662,"Taylor, Emily N. (2005) Biological Sciences",Professor,"B.A., University of California, Berkeley, 1998; Ph.D., Arizona State University, 2005."
663,"Taylor, J. Kevin (1999) School of Education",Professor and Director,"B.A., Newcastle and Sunderland Polytechnic, Newcastle, England, 1986; M.S., Central Washington University, 1990; Ph.D., University of South Carolina, 1994."
664,"Tejani, James (2009) History",Associate Professor,"B.A., University of California, San Diego, 1998; M.A., Columbia University, 2003; Ph.D., 2009."
665,"Telesetsky, Anastasia (2020) Natural Resources Management and Environmental Sciences",Professor,"B.A., Vanderbilt University, Nashville Tennessee, 1993; M.A., Univeristy of California, Santa Barbara, 1997; J.D., University of California, Berkeley, 2000; LLM, University of British Columbia, 2009"
666,"Templeton, Donna C (2006) Graphic Communication",Assistant Professor,"B.S California Polytechnic State University, San Luis Obispo, 2004, M.A 2019, Ph.D., Liberty University ABD 2022"
667,"Teramoto Pedrotti, Jennifer (2003) College of Liberal Arts, Psychology and Child Development",Associate Dean and Professor,"B.A., University of California, Davis, 1996; M.S., University of Kansas, 2000; Ph.D., 2003."
668,"Teufel, Brady (2006) Journalism",Professor and Department Chair,"B.A., University of California, Santa Cruz, 1997; M.A., University of Missouri, 2003."
669,"Thatcher, Tracy (2005) Civil and Environmental Engineering",Professor,"B.S., University of California, Davis, 1984; M.S., University of California, Berkeley, 1991; Ph.D., 1996. Registered Professional Engineer, California."
670,"Theobold, Allison (2020) Statistics",Assistant Professor,"B.B.A., B.S. Colorado Mesa University, 2014; M.S., Montana State University, 2016; PhD., 2020."
671,"Theodoropoulos, Christine Olympia (2012) College of Architecture and Environmental Design",Dean,"B.S., Princeton University, 1979; M.Arch., Yale University, 1985. AIA, Licensed Architect and Registered Professional Civil Engineer, California."
672,"Thomas, Jafra (2019) Kinesiology and Public Health",Assistant Professor,"B.A., University of the Pacific, 2012, M.A., University of the Pacific, 2014, M.P.H., Oregon State University, 2017, Ph.D., Oregon State University, 2019"
673,"Thompson, Lizabeth T. (1993) Industrial and Manufacturing Engineering",Professor,"B.S., California Polytechnic State University, San Luis Obispo, 1981; M.S., University of Southern California, 1986; M.B.A., 1986; Ph.D., University of California, Santa Barbara, 2007."
674,"Thompson, John Jay (1998) World Languages and Cultures",Professor,"B.A., University of California, Santa Barbara, 1986; M.A., Yale University, 1987; M.Phil., 1989; Ph.D., 1993."
675,"Thompson, Richard P. (1990) Natural Resources Management and Environmental Sciences",Professor,"B.S., Oklahoma State University, 1974; M.S., 1978; Ph.D., Texas AM University, 1990. Registered Professional Forester, California and Oklahoma."
676,"Thorncroft, Glen E. (1998) Mechanical Engineering",Professor,"BSE, University of Central Florida, 1988; MSME, 1991; Ph.D., University of Florida, 1997."
677,"Toker, Umut (2015) Architecture",Professor,"B. Arch., Middle East Technical Univ., Ankara, Turkey, 1996; MCP Urban Design, Middle East Technical University, Anarka Turkey, 1999; Ph.D., School of Architecture, College of Design, North Carolina State University, Raleigh, NC., 2003. Registered Architect in Turkey, International Union of Architects (UIA)."
678,"Tomanek, Lars (2005) Biological Sciences",Professor,"B.S., University of Konstanz, Germany, 1995; M.S., 1995; Ph.D., Oregon State University, 1999."
679,"Torres, Leo (2021) Aerospace Engineering",Associate Professor,"B.S, M.S. and PHD (2001) in Electrical Engineering, Federal University of Minas Gerais in Brazil"
680,"Torres-Bustamente, Cesar (2010) Landscape Architecture",Professor,"B.Arch., Universidad de las Américas, Puebla, 2000; M.L.A., RMIT University, 2005; Ph.D., 2009."
681,"Trice, Tom R. (2002) History",Associate Professor and Department Chair,"B.A., Louisiana College, 1981; M.A., Louisiana State University, 1987; Ph.D., University of Illinois, 1998."
682,"Trudell, Carmen Gayle (2005) Architecture",Professor and Assistant Department Head,"B.Arch., California Polytechnic State University, San Luis Obispo, 2001; M.S., Columbia University, 2006. M.S. Advanced Architectural Design, Columbia University, New York, NY, 2006. Registered Architect, California, New York, NCARB."
683,"Tseng, Marilyn (2017) Kinesiology and Public Health",Associate Professor,"A.B., Stanford University, 1991; M.A., Stanford University, 1991; Ph.D. University of North Carolina, Chapel Hill, 1998."
684,"Tubeileh, Ashraf (2015) Horticulture and Crop Science",Associate Professor,"B.S., An-Najah National Univ., Nablus, Palestine, 1995; M.S., Université de Lorrain, Nancy, France, 1997; Ph.D., Université de Lorrain, Nancy, France, 2000."
685,"Tully-Doyle, Ryan (2020) Mathematics",Assistant Professor,"B.S. California Polytechnic State University, San Luis Obispo, 2001; Ph.D. University of California, San Diego, 2015"
686,"Turner, Clark S. (1999) Computer Science",Professor,"B.S., Kings College, 1979; M.A., Pennsylvania State University, 1981; J.D., University of Maine, 1986; Ph.D., University of California, Irvine, 1999."
687,"Twomey, Colleen Larkin (2011) Graphic Communication",Professor and Department Chair,"B.S., Rochester Institute of Technology 1989; M.B.A., University of Delaware, 1997."
688,"Vagnoni, David (2015) Animal Science",Associate Professor,"B.S., Tulane University, 1986; M.S., Louisiana State University, 1989; Ph.D., University of Wisconsin, 1995."
689,"Vakalis, Ignatios (2006) Computer Science",Professor,"B.S., University of Patras, Greece, 1982; M.S., Western Michigan University, 1988; Ph.D., 1992."
690,"Vasilaky, Kathryn N. (2017) Economics",Assistant Professor,"B.A., Mathematics and Economics, Columbia Univeristy 2003, Cert. of Demography, Maryland Population Research Center 2010, Ph.D. University of Maryland 2011."
691,"Vees, Dina (2016) Graphic Communication",Associate Professor,"B.S., Carroll University, 2002; M.F.A., Full Sail University, 2013."
692,"Velasquez, Gloria (1985) World Languages and Cultures",Professor Emeritus (FERP),"B.A., University of Northern Colorado, 1978; M.A., Stanford University, 1980; Ph.D., 1985."
693,"Ventura, Alison K. (2014) Kinesiology and Public Health",Associate Professor,"B.S., University of California, Davis, 2003; M.S. Pennsylvania State University, 2005; Ph.D. Pennnsylvania State University, 2008."
694,"Ventura, Jonathan (2018) Computer Science",Associate Professor,"B.S., University of California, Santa Barbara, 2005; M.S., University of California, Santa Barbara, 2010; Ph.D., University of California, Santa Barbara, 2012."
695,"Verma, Priya O. (2011) Natural Resources Management and Environmental Sciences",Associate Professor,"B.S., University of Massachusetts, Boston, 2000; M.A., University of California, Santa Barbara, 2004; Ph.D. 2011."
696,"Vernon, J. Scott (1991) Agricultural Education and Communication",Professor Emeritus (FERP),"B.S., California Polytechnic State University, San Luis Obispo, 1983; M.S., 1985; Ph.D., Texas AM University, 1991."
697,"Villablanca, Francis X. (1999) Biological Sciences",Professor Emeritus (FERP),"B.S., California Polytechnic State University, San Luis Obispo, 1987; Ph.D., University of California, Berkeley, 1993."
698,"Vokos, Stamatis (2016) Physics",Professor,"B.Sc., University of Kent at Canterbury, 1984; M.A., UC Berkeley, 1985; Ph.D., 1990."
699,"Volpe, Richard (2014) Agribusiness",Associate Professor,"B.S., University of Massachusetts, Amherst, 2003; M.S., 2005; Ph.D., University of California, Davis, 2010."
700,"Vredevoe, Larisa K. (1999) Biological Sciences",Professor,"B.S., University of California, Davis, 1992; Ph.D., 1998."
701,"Waitinas, Catherine (2006) English",Professor,"B.A./M.A., St. Bonaventure University, 1996; M.A., University of Illinois at Urbana-Champaign, 1999; Ph.D., 2006."
702,"Waldorf, Daniel (1998) Industrial and Manufacturing Engineering",Professor and Department Chair,"B.S., University of Illinois at Urbana-Champaign, 1989; M.S., 1991; Ph.D., 1996. Registered Professional Engineer, California."
703,"Walker, John L. (2001) Statistics",Professor,"B.S., University of Chicago, 1988; M.S., Cornell University, 1993; Ph.D., 1995."
704,"Wallace, Robert (2020) Philosophy",Assistant Professor,"B.A., Kenyon College, 2012; M.A., University of Arizona, 2016; PhD. University of Arizona, 2020."
705,"Walter, Ryan K. (2014) Physics",Associate Professor,"B.S., Cornell University, 2009; M.S., Stanford University, 2010; Ph.D., 2014."
706,"Wang, Xuan (2014) Industrial and Manufacturing Engineering",Associate Professor,"B.S., Tsinghua University, Beijing, 1997; M.S., Tsinghua University, Beijing, 2000; Ph.D., University of California, San Diego, 2006."
707,"Wang, Cindy (2019) Marketing",Assistant Professor,"B.A., Qingdao University, China, 2008; M.B.A, Oklahoma State University, 2010; Ph.D., University of Oregon, 2017."
708,"Wang, Long (2020) Civil and Environmental Engineering",Assistant Professor,"B.S., Dalian University of Technology, China 2014; M.S. University of California, Davis, 2015, M.S., 2016; Ph.D., University of California, San Diego, 2019."
709,"Ward, Sandra M. (2016) Chemistry and Biochemistry",Associate Professor,"B.S., University of Waterloo, 2007; Ph.D., University of Calgary, 2012."
710,"Watts, David J. (2007) Landscape Architecture",Associate Professor,"B.S.L.A., University of Wisconsin-Madison, 1980; M.S.L.A., 2006. Registered Landscape Architect, Wisconsin."
711,"Watts, Katharine R. (2014) Chemistry and Biochemistry",Associate Professor,"B.S., University of Texas, El Paso, 2006; Ph.D. University of California, Santa Cruz, 2011."
712,"Weber, Paul A. (1999) Construction Management",Associate Professor,"B.S., California Polytechnic State University, San Luis Obispo, 1981; B.Arch., 1983; M.B.A., 1992; Ph.D., Colorado State University, 2000. Registered Architect, California. Licensed Building Contractor (B), California."
713,"Weber, TJ (2017) Marketing",Associate Professor,"B.S., Nothern Michigan University 2011, M.B.A., Marquette University 2013, Ph.D., Washington State University 2017"
714,"Wendt, Dean E. (2002) College of Science and Mathematics, Biological Sciences",Dean and Professor,"B.S., California Polytechnic State University, San Luis Obispo, 1993; M.A., 1995; Ph.D., Harvard University, 1999."
715,"Werner, James (2014) Art and Design",Associate Professor and Department Chair,"B.A., San Diego State University, 1995; M.F.A., Kent Institute of Art and Design, UK, 2003; Ed.D.C.T., Columbia University Teachers College, 2007."
716,"Westermann, Kimberly (2015) Accounting",Associate Professor,"B.S., Cal Poly University, 2000; Ph.D., Bentley University, 2011."
717,"Westphal, Russell (2008) Mechanical Engineering",Professor,"B.S., Washington State University, 1978; M.S., Stanford University, 1979; Ph.D., 1983."
718,"White, Crow (2013) Biological Sciences",Associate Professor,"B.A., University of Oregon, 1997; M.S., University of Montana, 2002; Ph.D., University of California, Santa Barbara, 2008."
719,"White, Emily (2015) Architecture",Associate Professor,"B.A. Barnard College, Columbia University, New York, NY, 1999; M.Arch, Southern California Institute of Architecture, 2006. Registered Architect, Washington."
720,"White, Arthur (2019) Music",Assistant Professor,"B.M., Emporia State University, 1997; M.M. West Virginia University, 2000; D.M.A., University of North Carolina at Greensboro, 2008"
721,"Whitt, Michael D. (2017) Biomedical Engineering",Assistant Professor,"B.S., Purdue University, 1987; M.S., Rutgers University/UMDNJ, 1994; Ph.D. 1999; M.B.A., University of California, Los Angeles, 2006."
722,"Widmann, James M. (2004) Mechanical Engineering",Professor and Department Chair,"B.S., Michigan Technological University, 1987; M.S., Stanford University, 1988; Ph.D., Stanford University, 1995."
723,"Wilkinson, Steven P. (2014) Chemistry and Biochemistry",Associate Professor,"B.S., The College of William and Mary, 1995; Ph.D., Louisana State University, 2005."
724,"Williams, Jean M. (2000) Political Science",Professor,"B.A., Pomona College, 1988; M.A., The Johns Hopkins University, 1996; Ph.D., 1998."
725,"Williams, Amber D. (2017) Psychology and Child Development",Associate Professor,"B.A., Rice University,2010, M.S. University of Michigan, 2012, Ph.D., University of Texas, 2015."
726,"Williams, Nicholas (2022) Natural Resources Management and Environmental Sciences, Horticulture and Crop Science",Assistant Professor,"B.A. UC Santa Barbara 2006; M.A. Unversity of California Santa Barbara 2010; Ph.D., University of California Santa Barbara, 2015."
727,"Wilson, Stewart (2020) Natural Resources Management and Environmental Sciences",Assistant Professor,"B.S., Humboldt State University, 2010; M.S., University of California, Davis, 2015; M.A., University of California, Davis, 2019; Ph.D., University of California, Davis, 2019."
728,"Winstead, Candace R. (2005) Biological Sciences",Professor,"B.A., Augustana College, 1991; Ph.D., Loyola University, 1999."
729,"Wolf, Marianne McGarry (1994) Agribusiness, Wine and Viticulture",Professor Emeritus (FERP),"B S., The Johns Hopkins University, 1976; M.A.,The Johns Hopkins University, 1977; Ph.D., The Johns Hopkins University, 1980"
730,"Wong, Jeffrey C. (2002) Horticulture and Crop Science",Professor,"B.S., Saint Mary’s College of California, 1994; M.S., University of Illinois at Champaign, 1999; Ph.D., 2002. The J. G. Boswell Foundation of Pasadena Endowed Chair."
731,"Woo, Jeong (2019) Construction Management",Professor and Department Head,"B.E., Kyung Won University, South Korea, 1996; M.S. Texas AM University, College Station, 2000; Ph.D., Texas AM University, College Station, 2005"
732,"Wood, Zoe J. (2003) College of Engineering, Computer Science",Associate Dean and Professor,"B.A., University of California, Santa Cruz, 1992; B.S., 1997; M.S., California Institute of Technology, 2000; Ph.D., 2003."
733,"Wood, Leah (2014) School of Education",Associate Professor,"B.S., Davidson College, 2003; M.A.T., University of North Carolina, Charlotte, 2009; Ph.D., University of North Carolina, Charlotte, 2014."
734,"Woodruff, Christopher J. (2018) Music",Assistant Professor,"B.M.E., Louisiana State University, 1991; M.M., Northwestern University, 1996."
735,"Wright, Ava (2020) Philosophy",Assistant Professor,"B.A., Rice University, 1995; J.D., Georgia State University, 2000; M.A., Georgia State University, 2010; M.S., University of Georgia, 2018; Ph.D. University of Georgia, 2019."
736,"Wroldsen, Jack (2019) Accounting",Assistant Professor,"B.A., The University of Arizona, 1999; M.A., The University of Arizona, 2001; J.D., Duke University School of Law, 2006."
737,"Wu, Xi (2005) Mechanical Engineering",Professor,"M.S., Chong Qing University, 1991; Dr. Eng., Cleveland State University, 2005."
738,"Xing, Siyuan (2019) Mechanical Engineering",Assistant Professor,"B.S., Sichuan University, 2013; M.S., Southern Illinois University Edwardsville, 2016; Ph.D., Southern Illionis University Carbondale, 2019."
739,"Yang, Tao H. (1987) Industrial and Manufacturing Engineering",Professor Emeritus (FERP),"B.S., Tunghai University, Taiwan, 1978; M.S., San Jose State University, 1982; Ph.D., Arizona State University, 1987."
740,"Yang, Hocheol (2020) Graphic Communication",Assistant Professor,"Ph.D., Media and Communication, Temple University; M.A., Applied Communication Theory and Methodology, Cleveland State University; M.A., Journalism and Communication Studies, Kwangwoon University; B.A., Digital Media, Kwangwoon University"
741,"Yeh, Grace I. (2007) Ethnic Studies, Communication Studies",Professor,"B.A., Duke University, 1995; M.A., Georgetown University, 2000; M.A., University of California, Los Angeles, 2003; Ph.D., 2007."
742,"Yep, Alejandra (2014) Biological Sciences",Associate Professor,"B.S./M.S., University of Buenos Aires, 1999; Ph.D., 2004."
743,"Yeung, Po Sai Marie (2006) Biological Sciences",Professor,"B.Sc., The Chinese University of Hong Kong, 1995; M.S., California Polytechnic State University, San Luis Obispo, 2001; Ph.D., Cornell University, 2004."
744,"Yeung, Vincent (2013) Animal Science",Associate Professor,"B.Sc. (Hon)., The Chinese University of Hong Kong, 1996; M.Sc., California Polytechnic State University, San Luis Obispo, 1999; Ph.D., Cornell University, 2003."
745,"Yin, Bingqing (Miranda) (2021) Marketing",Assistant Professor,"Ph.D., University of Kansas 2019, M.S. Business Administration Washburn University 2011, B.S. Wuhan University of Science and Technology 2009"
746,"Yip, Christopher L. (1988) Architecture",Professor Emeritus,"B.A., University of California, Berkeley, 1971; M. Arch., 1977; Ph.D., 1985."
747,"York, Jonathan (2008) Industrial Technology and Packaging",Professor Emeritus (FERP),"B.A., Yale University, 1973; M.A., Michigan State University, 1976; Ph.D., 1979."
748,"Yost, Jennifer M. (2014) Biological Sciences",Associate Professor,"B.S., California Polytechnic State University, 2005; M.S., 2007; Ph.D., University of California, Santa Cruz."
749,"Yu, Xiao-Hua (Helen) (2000) Electrical Engineering",Professor,"B.S., TianJin University, People’s Republic of China, 1988; M.S., Temple University, 1992; Ph.D., University of California, Irvine, 1998."
750,"Zambrano, Eduardo (2007) Economics",Professor,"B.A., Universidad Católica Andrés Bello, Venezuela, 1993; M.A., Cornell University, 1998; Ph.D., Cornell University, 1999."
751,"Zhan, Yongcheng (2019) Management, HR, and Information Systems",Assistant Professor,"Ph.D., University of Arizona 2019"
752,"Zhang, Ning (2007) Political Science",Professor and Interim Department Chair,"B.A., Peking University, Beijing, China, 1999; Ph.D., University of California, Santa Barbara, 2007."
753,"Zhang, Shanju (2011) Chemistry and Biochemistry",Professor,"B.S., Jilin University, People's Republic of China, 1993; Ph.D., 1998."
754,"Zhang, Xiaozheng (Jane) (2003) Electrical Engineering",Professor,"Diplom, University of Erlangen-Nuremberg, Germany, 1997; Ph.D., Georgia Institute of Technology, 2002."
755,"Zhang, Chuancai (2021) Accounting",Assistant Professor,"Ph.D., University of Kentucky 2021, Ph.D., Xiamen University 2016, M.A. Dongbei University of Finance and Economics 2012, B.A. Shandong Agricultural University 2009"
756,"Zhang, Pei (2022) Experience Industry Management",Assistant Professor,"B.S., Wuhan University of Science and Technology, 2009; M.S., University of South Carolina, 2013; Ph.D., University of South Carolina, 2017."
757,"Zigler, David F. (2016) Chemistry and Biochemistry",Associate Professor,"B.S., Eastern Illinois University; Ph.D., Virginia Tech."
758,"Zoerb, Matthew C. (2015) Chemistry and Biochemistry",Associate Professor,"B.S., UT Chattanooga, 2006; Ph.D., Univeristy of California, Berkeley, 2012."
759,"Zoller, David J. (2015) Philosophy",Associate Professor,"B.A. Xavier University, 2003; M.A., Fordham University, 2006; Ph.D., 2008."
